Epoch(1): Score: 10.760000(EER), 0.637400(DCF2), 0.787500(DCF3)
Epoch(1): Score: 10.800000(EER), 0.643700(DCF2), 0.789400(DCF3)
Epoch(2): Score: 11.550000(EER), 0.653900(DCF2), 0.786400(DCF3)
Epoch(3): Score: 11.250000(EER), 0.644700(DCF2), 0.786900(DCF3)
Epoch(4): Score: 11.150000(EER), 0.641200(DCF2), 0.788200(DCF3)
Epoch(5): Score: 11.060000(EER), 0.641100(DCF2), 0.787000(DCF3)
Epoch(6): Score: 11.050000(EER), 0.638700(DCF2), 0.786300(DCF3)
Epoch(7): Score: 10.940000(EER), 0.636900(DCF2), 0.782900(DCF3)
Epoch(8): Score: 11.080000(EER), 0.639400(DCF2), 0.786100(DCF3)
Epoch(9): Score: 11.020000(EER), 0.637900(DCF2), 0.786700(DCF3)
Epoch(10): Score: 11.040000(EER), 0.638800(DCF2), 0.787600(DCF3)
Epoch(11): Score: 11.060000(EER), 0.639100(DCF2), 0.788700(DCF3)
Epoch(12): Score: 10.930000(EER), 0.638100(DCF2), 0.789000(DCF3)
Epoch(13): Score: 11.020000(EER), 0.638200(DCF2), 0.788500(DCF3)
Epoch(14): Score: 11.020000(EER), 0.639000(DCF2), 0.790600(DCF3)
Epoch(15): Score: 11.020000(EER), 0.639700(DCF2), 0.789300(DCF3)
Epoch(16): Score: 11.120000(EER), 0.642500(DCF2), 0.790900(DCF3)
Epoch(17): Score: 11.050000(EER), 0.640600(DCF2), 0.790500(DCF3)
Epoch(18): Score: 10.950000(EER), 0.638600(DCF2), 0.788600(DCF3)
Epoch(19): Score: 11.020000(EER), 0.638700(DCF2), 0.788400(DCF3)
Epoch(20): Score: 11.040000(EER), 0.640200(DCF2), 0.788200(DCF3)
Epoch(21): Score: 10.930000(EER), 0.637000(DCF2), 0.788700(DCF3)
Epoch(22): Score: 11.050000(EER), 0.638700(DCF2), 0.787000(DCF3)
Epoch(23): Score: 11.040000(EER), 0.639000(DCF2), 0.787700(DCF3)
Epoch(24): Score: 10.970000(EER), 0.636500(DCF2), 0.788200(DCF3)
Epoch(25): Score: 11.060000(EER), 0.638700(DCF2), 0.788600(DCF3)
Epoch(26): Score: 10.970000(EER), 0.636900(DCF2), 0.786600(DCF3)
Epoch(27): Score: 10.900000(EER), 0.635600(DCF2), 0.786000(DCF3)
Epoch(28): Score: 11.040000(EER), 0.637300(DCF2), 0.787700(DCF3)
Epoch(29): Score: 10.990000(EER), 0.639000(DCF2), 0.785900(DCF3)
Epoch(30): Score: 11.010000(EER), 0.639100(DCF2), 0.788800(DCF3)
Epoch(31): Score: 10.970000(EER), 0.638700(DCF2), 0.789200(DCF3)
Epoch(32): Score: 10.980000(EER), 0.637600(DCF2), 0.787400(DCF3)
Epoch(33): Score: 10.980000(EER), 0.637800(DCF2), 0.788200(DCF3)
Epoch(34): Score: 10.990000(EER), 0.638800(DCF2), 0.788400(DCF3)
Epoch(35): Score: 10.990000(EER), 0.638100(DCF2), 0.786300(DCF3)
Epoch(36): Score: 11.080000(EER), 0.638800(DCF2), 0.787500(DCF3)
Epoch(37): Score: 10.950000(EER), 0.638700(DCF2), 0.786300(DCF3)
Epoch(38): Score: 10.940000(EER), 0.638400(DCF2), 0.787300(DCF3)
Epoch(39): Score: 11.080000(EER), 0.639000(DCF2), 0.788000(DCF3)
Epoch(40): Score: 10.990000(EER), 0.638800(DCF2), 0.787000(DCF3)
Epoch(5): Score: 29.900000(EER), 1.000000(DCF2), 1.000000(DCF3)
Epoch(10): Score: 11.650000(EER), 0.684700(DCF2), 0.833200(DCF3)
Epoch(15): Score: 42.120000(EER), 1.000000(DCF2), 1.000000(DCF3)
Epoch(20): Score: 27.680000(EER), 0.987200(DCF2), 0.996800(DCF3)
Epoch(25): Score: 18.750000(EER), 0.856000(DCF2), 0.959100(DCF3)
Epoch(30): Score: 13.410000(EER), 0.717300(DCF2), 0.848500(DCF3)
Epoch(35): Score: 33.150000(EER), 0.997100(DCF2), 0.999200(DCF3)
